Company Name,Market_Cap,P/E,Avg_ROE,NPM
Aedes,855.9166666666666,1256.6666666666667,28.878333333333334,33.10833333333333
Allied Properties (HK) Ltd.,2583.825,16.366666666666664,8.54,9.258333333333335
Anna Infrastructures Ltd,661.25,16.68083333333333,17.116666666666664,8.491666666666669
Arihant Foundations & Hou,851.0833333333334,8.54,16.949999999999996,8.715000000000002
Aspen Group Ltd,854.5500000000001,17.116666666666664,15.699999999999996,60.32333333333333
Audi AG,3070.4166666666665,28.32666666666667,28.11000000000001,61.777499999999996
BSEL Infrastructure Realty Ltd,854.5500000000001,17.199999999999996,8.206666666666667,38.145833333333336
BYD Co Ltd,1460.3333333333333,16.949999999999996,67.59666666666668,44.40583333333333
Bharat Petroleum Corp Ltd,547.5,16.144999999999996,28.32666666666667,-5.216666666666666
Brookfield Asset,444.5833333333333,16.949999999999996,8.54,37.73833333333333
CLP Holdings Limited,675.1666666666666,17.116666666666664,16.28333333333333,6.8133333333333335
Cognizant,845.5833333333334,17.199999999999996,73.81833333333334,42.78916666666666
Computacenter PLC,849.9166666666666,29.026666666666674,28.100833333333338,43.511666666666656
Dominion Resources Inc.,543.75,29.026666666666674,8.206666666666665,8.066666666666668
Dongfeng Motor Group Co Ltd,707.3333333333334,17.116666666666664,26.105000000000008,48.94499999999999
Dr. Reddy's,550.0833333333334,15.533333333333331,16.449999999999996,32.09083333333333
Fiat Group,952.9166666666666,8.54,26.942500000000006,44.534166666666664
Ford Motor,5573.014583333334,16.2,27.74333333333334,8.491666666666669
Fortune Oil PLC,2583.825,141.27,659.8333333333334,33.10833333333333
GCL-Poly Energy,682.0833333333334,16.949999999999996,16.45,10.420000000000002
Geely Automobile Holdings Ltd,541.1666666666666,28.134166666666673,28.704166666666676,34.85166666666667
General Motors Company,5638.225000000001,28.86000000000001,71.61666666666669,32.77833333333333
Glaxo Smith,547.5,15.699999999999996,16.28333333333333,34.43083333333333
HCL Technologies Ltd,1598.25,15.699999999999996,28.67833333333334,47.612500000000004
Hindustan Petroleum Corp Ltd,656.5333333333333,137.60333333333332,543.75,8.666666666666668
Hyundai Motor Co,2711.9083333333333,28.026666666666674,28.526666666666674,59.110833333333325
IBM,2520.25,29.026666666666674,71.78333333333335,52.221666666666664
Igate,453.25,15.533333333333331,69.03833333333334,44.387499999999996
Indian Oil Corp Ltd,953.0,15.616666666666665,28.526666666666674,-5.883333333333333
Infosys Ltd,2633.5833333333335,28.32666666666667,28.28750000000001,43.873333333333335
MindTree Ltd,942.0833333333334,15.262499999999998,28.204166666666676,46.76333333333333
NHPC Ltd,312.0833333333333,29.026666666666674,16.366666666666664,31.99833333333333
NewOcean Energy Holdings Ltd.,658.5,1281.6666666666667,28.86000000000001,8.145000000000001
NextEra Energy Inc.,559.5166666666667,28.86000000000001,17.033333333333328,6.823333333333333
PG&E Corporation,298.1666666666667,28.32666666666667,16.366666666666664,7.730000000000003
PPL Corporation,312.0833333333333,28.026666666666674,15.949999999999998,7.926666666666669
Phillips 66,447.0833333333333,140.43666666666667,460.0333333333333,8.083333333333336
Power Grid Corporation,859.3833333333333,15.262499999999998,16.949999999999996,30.429166666666664
Ranbaxy,433.0833333333333,15.699999999999996,16.699999999999996,36.63166666666667
Reliance Industries Ltd,3435.2000000000003,15.78333333333333,28.11000000000001,64.52749999999999
Reliance Infrastructure Ltd,654.0833333333334,8.54,8.456666666666665,7.175000000000001
Renault SA,1466.3333333333333,29.026666666666674,73.14166666666668,62.610833333333325
Tata Consultancy Services Ltd,5509.637500000001,28.86000000000001,68.09666666666668,38.46083333333333
Tata Motors Limited,2963.2333333333336,72.53333333333335,28.32666666666667,34.11333333333332
Tata Power Co. Ltd.,317.9166666666667,28.134166666666673,16.866666666666664,-5.883333333333333
Tech Mahindra Ltd,677.3333333333334,15.699999999999996,29.09500000000001,51.94333333333333
Tesoro Corporation,966.8333333333334,1281.6666666666667,26.770833333333332,4.596666666666667
Ultrapar Holdings Inc.,1466.3333333333333,28.32666666666667,28.204166666666676,4.9366666666666665
Valero Energy Corp,453.5833333333333,138.18666666666667,27.74333333333334,4.596666666666667
Wipro Ltd,1598.8999999999999,28.026666666666674,27.49333333333334,46.678333333333335
